"label","TP","FP","FN","SHD"
"alarm_0.05_500_2_3_bde",11,12,35,40
"alarm_0.05_500_2_4_bde",11,12,35,38
"alarm_0.05_500_3_3_bde",13,13,33,36
"alarm_0.05_500_3_4_bde",11,11,35,40
"alarm_0.05_500_4_3_bde",12,12,34,35
"alarm_0.05_500_4_4_bde",11,14,35,38
"alarm_0.05_500_2_3_aic",11,12,35,38
"alarm_0.05_500_2_4_aic",11,14,35,38
"alarm_0.05_500_3_3_aic",10,12,36,42
"alarm_0.05_500_3_4_aic",10,11,36,41
"alarm_0.05_500_4_3_aic",11,14,35,38
"alarm_0.05_500_4_4_aic",11,11,35,41
"alarm_0.05_500_2_3_bic",12,12,34,39
"alarm_0.05_500_2_4_bic",12,12,34,39
"alarm_0.05_500_3_3_bic",12,12,34,38
"alarm_0.05_500_3_4_bic",13,11,33,37
"alarm_0.05_500_4_3_bic",11,12,35,37
"alarm_0.05_500_4_4_bic",9,15,37,40
"alarm_0.05_500_2_3_loglik",11,14,35,39
"alarm_0.05_500_2_4_loglik",12,10,34,37
"alarm_0.05_500_3_3_loglik",11,14,35,40
"alarm_0.05_500_3_4_loglik",9,14,37,39
"alarm_0.05_500_4_3_loglik",9,14,37,41
"alarm_0.05_500_4_4_loglik",9,14,37,40
"alarm_0.01_500_2_3_bde",13,11,33,40
"alarm_0.01_500_2_4_bde",12,11,34,36
"alarm_0.01_500_3_3_bde",8,15,38,38
"alarm_0.01_500_3_4_bde",11,12,35,37
"alarm_0.01_500_4_3_bde",12,12,34,38
"alarm_0.01_500_4_4_bde",11,14,35,38
"alarm_0.01_500_2_3_aic",7,14,39,41
"alarm_0.01_500_2_4_aic",13,10,33,37
"alarm_0.01_500_3_3_aic",11,12,35,40
"alarm_0.01_500_3_4_aic",11,10,35,41
"alarm_0.01_500_4_3_aic",9,14,37,41
"alarm_0.01_500_4_4_aic",14,9,32,37
"alarm_0.01_500_2_3_bic",11,13,35,37
"alarm_0.01_500_2_4_bic",8,13,38,42
"alarm_0.01_500_3_3_bic",10,14,36,40
"alarm_0.01_500_3_4_bic",10,11,36,38
"alarm_0.01_500_4_3_bic",8,16,38,40
"alarm_0.01_500_4_4_bic",11,12,35,38
"alarm_0.01_500_2_3_loglik",11,14,35,40
"alarm_0.01_500_2_4_loglik",12,12,34,36
"alarm_0.01_500_3_3_loglik",11,12,35,37
"alarm_0.01_500_3_4_loglik",12,11,34,37
"alarm_0.01_500_4_3_loglik",11,11,35,37
"alarm_0.01_500_4_4_loglik",9,13,37,42
"alarm_0.005_500_2_3_bde",11,15,35,38
"alarm_0.005_500_2_4_bde",9,11,37,42
"alarm_0.005_500_3_3_bde",9,13,37,44
"alarm_0.005_500_3_4_bde",10,12,36,40
"alarm_0.005_500_4_3_bde",12,13,34,38
"alarm_0.005_500_4_4_bde",8,16,38,40
"alarm_0.005_500_2_3_aic",8,13,38,42
"alarm_0.005_500_2_4_aic",10,14,36,40
"alarm_0.005_500_3_3_aic",12,10,34,39
"alarm_0.005_500_3_4_aic",10,11,36,39
"alarm_0.005_500_4_3_aic",10,13,36,39
"alarm_0.005_500_4_4_aic",13,9,33,37
"alarm_0.005_500_2_3_bic",8,16,38,40
"alarm_0.005_500_2_4_bic",10,11,36,39
"alarm_0.005_500_3_3_bic",11,12,35,40
"alarm_0.005_500_3_4_bic",11,13,35,38
"alarm_0.005_500_4_3_bic",9,13,37,42
"alarm_0.005_500_4_4_bic",10,14,36,38
"alarm_0.005_500_2_3_loglik",15,9,31,36
"alarm_0.005_500_2_4_loglik",9,16,37,36
"alarm_0.005_500_3_3_loglik",11,11,35,39
"alarm_0.005_500_3_4_loglik",10,13,36,38
"alarm_0.005_500_4_3_loglik",16,9,30,33
"alarm_0.005_500_4_4_loglik",9,12,37,40
"alarm_0.05_1000_2_3_bde",11,17,35,34
"alarm_0.05_1000_2_4_bde",16,13,30,34
"alarm_0.05_1000_3_3_bde",13,13,33,37
"alarm_0.05_1000_3_4_bde",13,15,33,34
"alarm_0.05_1000_4_3_bde",16,11,30,32
"alarm_0.05_1000_4_4_bde",10,17,36,37
"alarm_0.05_1000_2_3_aic",15,13,31,36
"alarm_0.05_1000_2_4_aic",14,13,32,35
"alarm_0.05_1000_3_3_aic",15,12,31,34
"alarm_0.05_1000_3_4_aic",16,12,30,34
"alarm_0.05_1000_4_3_aic",13,16,33,34
"alarm_0.05_1000_4_4_aic",17,10,29,34
"alarm_0.05_1000_2_3_bic",15,13,31,34
"alarm_0.05_1000_2_4_bic",13,16,33,35
"alarm_0.05_1000_3_3_bic",11,14,35,38
"alarm_0.05_1000_3_4_bic",13,13,33,35
