"label","TP","FP","FN","SHD"
"alarm_0.05_500_2_3_bde",17,15,29,33
"alarm_0.05_500_2_4_bde",17,15,29,33
"alarm_0.05_500_3_3_bde",17,15,29,33
"alarm_0.05_500_3_4_bde",17,15,29,33
"alarm_0.05_500_4_3_bde",17,15,29,33
"alarm_0.05_500_4_4_bde",17,15,29,33
"alarm_0.05_500_2_3_aic",17,15,29,33
"alarm_0.05_500_2_4_aic",17,15,29,33
"alarm_0.05_500_3_3_aic",17,15,29,33
"alarm_0.05_500_3_4_aic",17,15,29,33
"alarm_0.05_500_4_3_aic",17,15,29,33
"alarm_0.05_500_4_4_aic",17,15,29,33
"alarm_0.05_500_2_3_bic",17,15,29,33
"alarm_0.05_500_2_4_bic",16,16,30,33
"alarm_0.05_500_3_3_bic",16,16,30,33
"alarm_0.05_500_3_4_bic",17,15,29,33
"alarm_0.05_500_4_3_bic",17,15,29,33
"alarm_0.05_500_4_4_bic",16,16,30,33
"alarm_0.05_500_2_3_loglik",17,15,29,33
"alarm_0.05_500_2_4_loglik",17,15,29,33
"alarm_0.05_500_3_3_loglik",17,15,29,33
"alarm_0.05_500_3_4_loglik",17,15,29,33
"alarm_0.05_500_4_3_loglik",17,15,29,33
"alarm_0.05_500_4_4_loglik",17,15,29,33
"alarm_0.01_500_2_3_bde",17,15,29,33
"alarm_0.01_500_2_4_bde",17,15,29,33
"alarm_0.01_500_3_3_bde",17,15,29,33
"alarm_0.01_500_3_4_bde",17,15,29,33
"alarm_0.01_500_4_3_bde",17,15,29,33
"alarm_0.01_500_4_4_bde",17,15,29,33
"alarm_0.01_500_2_3_aic",17,15,29,33
"alarm_0.01_500_2_4_aic",17,15,29,33
"alarm_0.01_500_3_3_aic",17,15,29,33
"alarm_0.01_500_3_4_aic",17,15,29,33
"alarm_0.01_500_4_3_aic",17,15,29,33
"alarm_0.01_500_4_4_aic",17,15,29,33
"alarm_0.01_500_2_3_bic",17,15,29,33
"alarm_0.01_500_2_4_bic",16,16,30,33
"alarm_0.01_500_3_3_bic",16,16,30,33
"alarm_0.01_500_3_4_bic",17,15,29,33
"alarm_0.01_500_4_3_bic",17,15,29,33
"alarm_0.01_500_4_4_bic",16,16,30,33
"alarm_0.01_500_2_3_loglik",17,15,29,33
"alarm_0.01_500_2_4_loglik",17,15,29,33
"alarm_0.01_500_3_3_loglik",17,15,29,33
"alarm_0.01_500_3_4_loglik",17,15,29,33
"alarm_0.01_500_4_3_loglik",17,15,29,33
"alarm_0.01_500_4_4_loglik",17,15,29,33
"alarm_0.005_500_2_3_bde",17,15,29,33
"alarm_0.005_500_2_4_bde",17,15,29,33
"alarm_0.005_500_3_3_bde",17,15,29,33
"alarm_0.005_500_3_4_bde",17,15,29,33
"alarm_0.005_500_4_3_bde",17,15,29,33
"alarm_0.005_500_4_4_bde",17,15,29,33
"alarm_0.005_500_2_3_aic",17,15,29,33
"alarm_0.005_500_2_4_aic",17,15,29,33
"alarm_0.005_500_3_3_aic",17,15,29,33
"alarm_0.005_500_3_4_aic",17,15,29,33
"alarm_0.005_500_4_3_aic",17,15,29,33
"alarm_0.005_500_4_4_aic",17,15,29,33
"alarm_0.005_500_2_3_bic",17,15,29,33
"alarm_0.005_500_2_4_bic",16,16,30,33
"alarm_0.005_500_3_3_bic",16,16,30,33
"alarm_0.005_500_3_4_bic",17,15,29,33
"alarm_0.005_500_4_3_bic",17,15,29,33
"alarm_0.005_500_4_4_bic",16,16,30,33
"alarm_0.005_500_2_3_loglik",17,15,29,33
"alarm_0.005_500_2_4_loglik",17,15,29,33
"alarm_0.005_500_3_3_loglik",17,15,29,33
"alarm_0.005_500_3_4_loglik",17,15,29,33
"alarm_0.005_500_4_3_loglik",17,15,29,33
"alarm_0.005_500_4_4_loglik",17,15,29,33
