"label","TP","FP","FN","SHD"
"asia_0.05_500_2_3_bde",4,0,4,7
"asia_0.05_500_2_4_bde",4,0,4,5
"asia_0.05_500_3_3_bde",5,0,3,4
"asia_0.05_500_3_4_bde",4,0,4,5
"asia_0.05_500_4_3_bde",5,0,3,4
"asia_0.05_500_4_4_bde",4,0,4,5
"asia_0.05_500_2_3_aic",4,0,4,5
"asia_0.05_500_2_4_aic",4,0,4,5
"asia_0.05_500_3_3_aic",4,0,4,5
"asia_0.05_500_3_4_aic",4,0,4,5
"asia_0.05_500_4_3_aic",4,0,4,5
"asia_0.05_500_4_4_aic",4,0,4,5
"asia_0.05_500_2_3_bic",4,0,4,5
"asia_0.05_500_2_4_bic",5,0,3,6
"asia_0.05_500_3_3_bic",5,0,3,4
"asia_0.05_500_3_4_bic",4,0,4,7
"asia_0.05_500_4_3_bic",4,0,4,5
"asia_0.05_500_4_4_bic",5,0,3,6
"asia_0.05_500_2_3_loglik",5,0,3,4
"asia_0.05_500_2_4_loglik",4,0,4,5
"asia_0.05_500_3_3_loglik",3,1,5,7
"asia_0.05_500_3_4_loglik",4,0,4,7
"asia_0.05_500_4_3_loglik",4,0,4,5
"asia_0.05_500_4_4_loglik",4,0,4,5
"asia_0.01_500_2_3_bde",4,0,4,7
"asia_0.01_500_2_4_bde",4,0,4,5
"asia_0.01_500_3_3_bde",4,0,4,5
"asia_0.01_500_3_4_bde",4,0,4,5
"asia_0.01_500_4_3_bde",4,0,4,7
"asia_0.01_500_4_4_bde",5,0,3,4
"asia_0.01_500_2_3_aic",4,0,4,5
"asia_0.01_500_2_4_aic",5,0,3,6
"asia_0.01_500_3_3_aic",3,1,5,7
"asia_0.01_500_3_4_aic",4,0,4,5
"asia_0.01_500_4_3_aic",4,0,4,7
"asia_0.01_500_4_4_aic",4,0,4,5
"asia_0.01_500_2_3_bic",5,0,3,6
"asia_0.01_500_2_4_bic",5,0,3,4
"asia_0.01_500_3_3_bic",5,0,3,4
"asia_0.01_500_3_4_bic",4,0,4,7
"asia_0.01_500_4_3_bic",4,0,4,7
"asia_0.01_500_4_4_bic",4,0,4,5
"asia_0.01_500_2_3_loglik",5,0,3,4
"asia_0.01_500_2_4_loglik",4,0,4,5
"asia_0.01_500_3_3_loglik",4,0,4,5
"asia_0.01_500_3_4_loglik",4,0,4,5
"asia_0.01_500_4_3_loglik",5,0,3,4
"asia_0.01_500_4_4_loglik",4,0,4,5
"asia_0.005_500_2_3_bde",5,0,3,6
"asia_0.005_500_2_4_bde",4,0,4,5
"asia_0.005_500_3_3_bde",4,0,4,5
"asia_0.005_500_3_4_bde",5,0,3,4
"asia_0.005_500_4_3_bde",4,0,4,5
"asia_0.005_500_4_4_bde",4,0,4,5
"asia_0.005_500_2_3_aic",4,0,4,5
"asia_0.005_500_2_4_aic",4,0,4,5
"asia_0.005_500_3_3_aic",4,0,4,7
"asia_0.005_500_3_4_aic",5,0,3,6
"asia_0.005_500_4_3_aic",4,0,4,5
"asia_0.005_500_4_4_aic",4,0,4,5
"asia_0.005_500_2_3_bic",4,0,4,5
"asia_0.005_500_2_4_bic",4,0,4,5
"asia_0.005_500_3_3_bic",4,0,4,7
"asia_0.005_500_3_4_bic",4,0,4,5
"asia_0.005_500_4_3_bic",5,0,3,6
"asia_0.005_500_4_4_bic",4,0,4,5
"asia_0.005_500_2_3_loglik",4,0,4,5
"asia_0.005_500_2_4_loglik",4,0,4,5
"asia_0.005_500_3_3_loglik",5,0,3,6
"asia_0.005_500_3_4_loglik",4,0,4,5
"asia_0.005_500_4_3_loglik",4,0,4,5
"asia_0.005_500_4_4_loglik",5,0,3,5
"asia_0.05_1000_2_3_bde",4,0,4,5
"asia_0.05_1000_2_4_bde",5,1,3,5
"asia_0.05_1000_3_3_bde",4,0,4,5
"asia_0.05_1000_3_4_bde",4,0,4,7
"asia_0.05_1000_4_3_bde",4,0,4,5
"asia_0.05_1000_4_4_bde",5,0,3,4
