"label","TP","FP","FN","SHD"
"hailfinder_0.05_500_2_3_bde",23,5,43,58
"hailfinder_0.05_500_2_4_bde",24,3,42,56
"hailfinder_0.05_500_3_3_bde",24,2,42,56
"hailfinder_0.05_500_3_4_bde",24,4,42,56
"hailfinder_0.05_500_4_3_bde",22,5,44,61
"hailfinder_0.05_500_4_4_bde",22,5,44,61
"hailfinder_0.05_500_2_3_aic",23,4,43,59
"hailfinder_0.05_500_2_4_aic",24,2,42,56
"hailfinder_0.05_500_3_3_aic",24,3,42,56
"hailfinder_0.05_500_3_4_aic",22,5,44,61
"hailfinder_0.05_500_4_3_aic",22,4,44,61
"hailfinder_0.05_500_4_4_aic",23,4,43,58
"hailfinder_0.05_500_2_3_bic",23,5,43,55
"hailfinder_0.05_500_2_4_bic",24,4,42,57
"hailfinder_0.05_500_3_3_bic",24,3,42,56
"hailfinder_0.05_500_3_4_bic",23,4,43,59
"hailfinder_0.05_500_4_3_bic",22,5,44,61
"hailfinder_0.05_500_4_4_bic",23,4,43,59
"hailfinder_0.05_500_2_3_loglik",24,4,42,55
"hailfinder_0.05_500_2_4_loglik",23,5,43,59
"hailfinder_0.05_500_3_3_loglik",24,3,42,55
"hailfinder_0.05_500_3_4_loglik",24,3,42,56
"hailfinder_0.05_500_4_3_loglik",24,3,42,56
"hailfinder_0.05_500_4_4_loglik",23,4,43,59
"hailfinder_0.01_500_2_3_bde",24,3,42,56
"hailfinder_0.01_500_2_4_bde",24,3,42,56
"hailfinder_0.01_500_3_3_bde",23,4,43,58
"hailfinder_0.01_500_3_4_bde",22,4,44,59
"hailfinder_0.01_500_4_3_bde",24,2,42,56
"hailfinder_0.01_500_4_4_bde",22,6,44,61
"hailfinder_0.01_500_2_3_aic",24,5,42,54
"hailfinder_0.01_500_2_4_aic",23,4,43,58
"hailfinder_0.01_500_3_3_aic",23,5,43,60
"hailfinder_0.01_500_3_4_aic",23,4,43,59
"hailfinder_0.01_500_4_3_aic",22,5,44,61
"hailfinder_0.01_500_4_4_aic",23,4,43,59
"hailfinder_0.01_500_2_3_bic",23,4,43,58
"hailfinder_0.01_500_2_4_bic",23,4,43,58
"hailfinder_0.01_500_3_3_bic",24,4,42,57
"hailfinder_0.01_500_3_4_bic",23,5,43,58
"hailfinder_0.01_500_4_3_bic",22,5,44,61
"hailfinder_0.01_500_4_4_bic",23,4,43,58
"hailfinder_0.01_500_2_3_loglik",23,5,43,59
"hailfinder_0.01_500_2_4_loglik",24,4,42,56
"hailfinder_0.01_500_3_3_loglik",23,4,43,58
"hailfinder_0.01_500_3_4_loglik",24,3,42,56
"hailfinder_0.01_500_4_3_loglik",23,5,43,58
"hailfinder_0.01_500_4_4_loglik",24,3,42,56
"hailfinder_0.005_500_2_3_bde",23,4,43,59
"hailfinder_0.005_500_2_4_bde",23,5,43,58
"hailfinder_0.005_500_3_3_bde",22,5,44,61
"hailfinder_0.005_500_3_4_bde",23,3,43,59
"hailfinder_0.005_500_4_3_bde",23,4,43,58
"hailfinder_0.005_500_4_4_bde",23,4,43,58
"hailfinder_0.005_500_2_3_aic",24,3,42,55
"hailfinder_0.005_500_2_4_aic",23,4,43,58
"hailfinder_0.005_500_3_3_aic",23,5,43,58
"hailfinder_0.005_500_3_4_aic",24,3,42,56
"hailfinder_0.005_500_4_3_aic",24,4,42,56
"hailfinder_0.005_500_4_4_aic",23,4,43,59
"hailfinder_0.005_500_2_3_bic",23,4,43,58
"hailfinder_0.005_500_2_4_bic",22,5,44,58
"hailfinder_0.005_500_3_3_bic",23,4,43,58
