"label","TP","FP","FN","SHD"
"hailfinder_0.05_500_2_3_bde",19,15,47,51
"hailfinder_0.05_500_2_4_bde",22,12,44,49
"hailfinder_0.05_500_3_3_bde",19,15,47,51
"hailfinder_0.05_500_3_4_bde",19,15,47,53
"hailfinder_0.05_500_4_3_bde",16,18,50,55
"hailfinder_0.05_500_4_4_bde",22,12,44,49
"hailfinder_0.05_500_2_3_aic",21,14,45,49
"hailfinder_0.05_500_2_4_aic",21,14,45,49
"hailfinder_0.05_500_3_3_aic",21,14,45,49
"hailfinder_0.05_500_3_4_aic",21,14,45,49
"hailfinder_0.05_500_4_3_aic",21,14,45,49
"hailfinder_0.05_500_4_4_aic",21,14,45,49
"hailfinder_0.05_500_2_3_bic",21,13,45,48
"hailfinder_0.05_500_2_4_bic",21,13,45,48
"hailfinder_0.05_500_3_3_bic",21,13,45,48
"hailfinder_0.05_500_3_4_bic",21,13,45,48
"hailfinder_0.05_500_4_3_bic",21,13,45,48
"hailfinder_0.05_500_4_4_bic",21,13,45,48
"hailfinder_0.05_500_2_3_loglik",20,15,46,51
"hailfinder_0.05_500_2_4_loglik",22,13,44,49
"hailfinder_0.05_500_3_3_loglik",20,15,46,51
"hailfinder_0.05_500_3_4_loglik",22,13,44,49
"hailfinder_0.05_500_4_3_loglik",22,13,44,49
"hailfinder_0.05_500_4_4_loglik",23,12,43,47
"hailfinder_0.01_500_2_3_bde",19,15,47,51
"hailfinder_0.01_500_2_4_bde",22,12,44,49
"hailfinder_0.01_500_3_3_bde",19,15,47,51
"hailfinder_0.01_500_3_4_bde",19,15,47,53
"hailfinder_0.01_500_4_3_bde",16,18,50,55
"hailfinder_0.01_500_4_4_bde",22,12,44,49
"hailfinder_0.01_500_2_3_aic",21,14,45,49
"hailfinder_0.01_500_2_4_aic",21,14,45,49
"hailfinder_0.01_500_3_3_aic",21,14,45,49
"hailfinder_0.01_500_3_4_aic",21,14,45,49
"hailfinder_0.01_500_4_3_aic",21,14,45,49
"hailfinder_0.01_500_4_4_aic",21,14,45,49
"hailfinder_0.01_500_2_3_bic",21,13,45,48
"hailfinder_0.01_500_2_4_bic",21,13,45,48
"hailfinder_0.01_500_3_3_bic",21,13,45,48
"hailfinder_0.01_500_3_4_bic",21,13,45,48
"hailfinder_0.01_500_4_3_bic",21,13,45,48
"hailfinder_0.01_500_4_4_bic",21,13,45,48
"hailfinder_0.01_500_2_3_loglik",20,15,46,51
